Year,Price Index
1800,13.5
1801,15.1
1802,11.6
1803,11
1804,11.3
1805,13.1
1806,12.6
1807,12.3
1808,12.8
1809,14
1810,14.4
1811,14
1812,15.9
1813,16.3
1814,14.2
1815,12.7
1816,11.6
1817,13.2
1818,13.2
1819,12.9
1820,11.7
1821,10.3
1822,8.9
1823,9.5
1824,10.3
1825,12.1
1826,11.4
1827,10.7
1828,10.4
1829,10.3
1830,9.9
1831,10.9
1832,10.1
1833,9.5
1834,8.7
1835,8.9
1836,9.9
1837,10.1
1838,10.2
1839,10.9
1840,11.1
1841,10.9
1842,10
1843,8.9
1844,8.9
1845,9.3
1846,9.7
1847,10.9
1848,9.5
1849,8.9
1850,8.4
1851,8.1
1852,8.1
1853,8.9
1854,10.2
1855,10.5
1856,10.5
1857,10
1858,9.1
1859,9
1860,9.3
1861,9.5
1862,9.3
1863,9
1864,8.9
1865,9
1866,9.5
1867,10.1
1868,10
1869,9.5
1870,9.5
1871,9.6
1872,10
1873,10.4
1874,10
1875,9.8
1876,9.8
1877,9.7
1878,9.5
1879,9.1
1880,9.4
1881,9.3
1882,9.4
1883,9.3
1884,9.1
1885,8.8
1886,8.7
1887,8.6
1888,8.7
1889,8.8
1890,8.8
1891,8.9
1892,8.9
1893,8.8
1894,8.7
1895,8.6
1896,8.5
1897,8.7
1898,8.7
1899,8.8
1900,9.2
1901,9.2
1902,9.2
1903,9.3
1904,9.3
1905,9.3
1906,9.3
1907,9.4
1908,9.4
1909,9.5
1910,9.6
1911,9.6
1912,9.9
1913,9.8
1914,9.8
1915,11
1916,13
1917,16.3
1918,19.9
1919,21.9
1920,25.3
1921,23.1
1922,19.9
1923,18.7
1924,18.6
1925,18.6
1926,18.5
1927,18
1928,18
1929,17.8
1930,17.3
1931,16.6
1932,16.2
1933,15.8
1934,15.8
1935,15.9
1936,16
1937,16.6
1938,16.8
1939,17.3
1940,20.2
1941,22.4
1942,24
1943,24.8
1944,25.5
1945,26.2
1946,27
1947,28.9
1948,31.1
1949,32
1950,33
1951,36
1952,39.3
1953,40.5
1954,41.3
1955,43.1
1956,45.3
1957,46.9
1958,48.4
1959,48.6
1960,49.1
1961,50.8
1962,53
1963,54
1964,55.8
1965,58.4
1966,60.7
1967,62.3
1968,65.2
1969,68.7
1970,73.1
1971,80
1972,85.7
1973,93.5
1974,108.5
1975,134.8
1976,157.1
1977,182
1978,197.1
1979,223.5
1980,263.7
1981,295
1982,320.4
1983,335.1
1984,351.8
1985,373.2
1986,385.9
1987,402
1988,421.7
1989,454.5
1990,497.5
1991,526.7
1992,546.4
1993,555.1
1994,568.5
1995,588.2
1996,602.4
1997,621.3
1998,642.6
1999,652.5
2000,671.8
2001,683.7
2002,695.1
2003,715.2
2004,736.5
2005,757.3
2006,781.5
2007,815
2008,847.5
2009,843
2010,881.9
2011,927.8
2012,957.6